show,year,genre,rating,votes,runtime,gross
"#AnneFrank - Parallel Stories",2019,"Drama,History",6.5,1296.0,92.0,""
#BlackAF,2020,Comedy,6.8,4200.0,36.0,""
#HappyBirthdaySense8,2017,Short,8.9,828.0,15.0,""
#Realityhigh,2017,"Comedy,Drama,Romance",5.2,5947.0,99.0,""
#Rucker50,2016,Documentary,5.2,105.0,56.0,""
#Saraitda,2020,"Action,Drama,Horror",6.3,30530.0,98.0,""
#TemanTapiMenikah,2018,"Biography,Comedy,Drama",6.9,602.0,102.0,""
#TemanTapiMenikah2,2020,"Biography,Comedy,Drama",6.9,241.0,100.0,""
#cats_the_mewvie,2020,Documentary,5.3,439.0,90.0,""
#differentnotless,2017,Drama,0.0,0.0,30.0,""
"'76",2016,"Drama,Romance",7.2,58.0,118.0,""
(Un)Well,2020,Documentary,6.4,901.0,0.0,""
02:22,2008,"Crime,Drama,Thriller",5.2,1361.0,104.0,""
07:19,2016,"Drama,History",5.9,605.0,94.0,""
08:46,"2020 TV Special","Short,Comedy",8.1,2042.0,27.0,""
"1 Chance 2 Dance",2014,"Drama,Family",4.8,544.0,89.0,""
"1,000,000 yen no Onnatachi",2017,"Comedy,Drama,Mystery",7.5,1636.0,30.0,""
"10 000 timmar",2014,Comedy,4.4,953.0,94.0,""
"10 Days in Sun City",2017,"Adventure,Comedy,Romance",5.1,58.0,87.0,""
"100 Humans",2020,Reality-TV,5.7,3456.0,0.0,""
"100 días para enamorarnos",2020,Comedy,6.9,645.0,0.0,""
"100 metros",2016,"Biography,Comedy,Drama",7.5,5856.0,108.0,""
"100% Coco",2017,Drama,4.7,838.0,88.0,""
"100% Hotter",2016,Reality-TV,4.4,864.0,60.0,""
"100-man no Inochi no Ue ni Ore wa Tatte Iru",2020,"Animation,Action,Adventure",6.4,439.0,23.0,""
"101 Dalmatians",1996,"Adventure,Comedy,Crime",5.7,106580.0,103.0,136.19
"12 Monkeys",20152018,"Adventure,Drama,Mystery",7.7,42021.0,42.0,""
"12 Rounds 3: Lockdown",2015,"Action,Crime,Thriller",5.2,4021.0,90.0,""
"127 Hours",2010,"Biography,Drama",7.5,357144.0,94.0,18.34
"13 Geboden",20172018,"Crime,Mystery,Thriller",7.0,2093.0,46.0,""
"13 Minutes","","Drama,Thriller",0.0,0.0,0.0,""
"13 Reasons Why",20172020,"Drama,Mystery,Thriller",6.27,25756.55,62.55,""
"13 Reasons Why: Season 2 Date Announcement Commercial",2018,"Short,Drama",7.2,197.0,1.0,""
"13: The Musical","","Comedy,Family,Musical",0.0,0.0,0.0,""
13th,2016,"Documentary,Crime,History",8.2,33496.0,100.0,""
"13th: A Conversation with Oprah Winfrey & Ava DuVernay","2017 Video","Documentary,Short",7.1,193.0,37.0,""
15-Aug,2019,Drama,5.9,245.0,124.0,""
"17 filles",2011,Drama,6.0,3140.0,86.0,0.02
"18 regali",2020,Drama,6.7,3312.0,115.0,""
"1898. Los últimos de Filipinas",2016,"Drama,History,War",6.5,3074.0,105.0,""
1899,2022,"Drama,History,Horror",0.0,0.0,0.0,""
1920,2008,"Horror,Mystery,Romance",6.4,3183.0,138.0,""
"1920 London",2016,"Horror,Mystery",4.1,1599.0,120.0,""
1922,2017,"Crime,Drama,Horror",6.3,56699.0,102.0,""
1983,2018,"Crime,Drama,Thriller",6.8,3882.0,60.0,""
1994,"I 2019","Documentary,History",7.6,442.0,0.0,""
"1994: Poder, Rebeldía y Crimen en México",2019,Documentary,8.7,17.0,0.0,""
"2 Weeks",2013,"Crime,Drama",8.1,628.0,65.0,""
"2001: A Space Odyssey",1968,"Adventure,Sci-Fi",8.3,622998.0,149.0,56.95
"2006 Independent Spirit Awards","2006 TV Special","",6.6,83.0,109.0,""
"2020 Golden Globe Awards","2020 TV Special",Comedy,7.2,703.0,134.0,""
2067,2020,Sci-Fi,4.9,6977.0,114.0,""
"21 Days Under the Sky",2016,Documentary,6.7,252.0,70.0,""
"21 Sarfarosh Saragarhi 1897",2018,War,8.2,364.0,18.0,""
"21 Thunder",2017,Drama,6.2,979.0,60.0,""
22-Jul,2018,"Crime,Drama,History",6.8,30905.0,143.0,""
"22nd Annual Mark Twain Prize for American Humor celebrating: Dave Chappelle","2020 TV Special",Comedy,7.5,1715.0,90.0,""
23:59,2011,Horror,4.6,903.0,78.0,""
"26 nyeon",2012,"Drama,Thriller",6.3,1054.0,135.0,""
2gether,2020,"Comedy,Drama,Romance",7.9,1276.0,50.0,""
"3 Geezers!",2013,Comedy,3.3,726.0,81.0,""
"3 Türken & ein Baby",2015,Comedy,5.5,1646.0,95.0,""
3%,20162020,"Action,Drama,Sci-Fi",7.4,22943.0,49.0,""
300,2006,"Action,Drama",7.6,751815.0,117.0,210.61
"300: Rise of an Empire",2014,"Action,Drama",6.2,286734.0,102.0,106.58
"365 dni",2020,"Drama,Romance",3.3,63620.0,114.0,""
"37 sekanzu",2019,Drama,7.3,2345.0,115.0,""
"3Below: Tales of Arcadia",20182019,"Animation,Action,Adventure",7.93,460.53,19.33,""
"3rd Rock from the Sun",19962001,"Comedy,Family,Sci-Fi",7.7,48780.0,60.0,""
"4 latas",2019,"Comedy,Drama",5.9,2903.0,105.0,""
"42 días en la oscuridad","","Crime,Drama,Mystery",0.0,0.0,0.0,""
"44 Gatti",2018,"Animation,Adventure,Comedy",6.1,238.0,13.0,""
"45 Revoluciones",2019,"Drama,Music",7.3,426.0,50.0,""
"46 Yok Olan",2016,"Action,Crime,Drama",8.4,4079.0,60.0,""
50M2,2021,"Comedy,Drama,Thriller",7.27,620.89,48.56,""
"6 Balloons",2018,Drama,5.9,3865.0,74.0,""
"6 Below: Miracle on the Mountain",2017,"Biography,Drama,Sport",5.7,6916.0,98.0,""
"6 Days","I 2017","Action,Drama,History",6.2,19869.0,94.0,""
"6 Underground",2019,"Action,Thriller",6.1,150455.0,128.0,""
"6 Years",2015,"Drama,Romance",5.6,12049.0,79.0,""
6-5=2,2014,Horror,4.3,182.0,104.0,""
"60 Il, Jijeongsaengjonja",2019,"Drama,Thriller",8.1,910.0,70.0,""
"7 Chinese Brothers",2015,Comedy,5.6,1490.0,76.0,""
"7 Days Out",2018,Documentary,6.8,471.0,48.0,""
"7 Guardians of the Tomb",2018,"Action,Adventure,Horror",4.5,3681.0,90.0,""
"7 Ilui Wangbi",2017,"Drama,Romance",7.8,388.0,0.0,""
"7 Prisioneiros",2021,Drama,0.0,0.0,90.0,""
"7 años",2016,Drama,6.8,4660.0,77.0,""
"71st Golden Globe Awards","2014 TV Special",News,7.2,888.0,0.0,""
"72 Dangerous Animals - Asia",2018,Documentary,6.6,455.0,0.0,""
"72 Dangerous Animals: Latin America",2017,Documentary,6.6,475.0,0.0,""
7Seeds,20192020,"Animation,Action,Adventure",7.08,77.38,24.71,""
"800 metros",2021,Documentary,0.0,0.0,0.0,""
"9 Kere Leyla",2020,Comedy,3.7,7092.0,112.0,""
"A 3 Minute Hug",2019,"Documentary,Short",6.6,202.0,28.0,""
"A Babysitter's Guide to Monster Hunting",2020,"Comedy,Family,Fantasy",5.4,3434.0,98.0,""
"A Boy Called Christmas",2021,"Adventure,Drama,Family",0.0,0.0,0.0,""
"A California Christmas",2020,"Comedy,Drama,Romance",5.8,6943.0,106.0,""
"A Castle for Christmas",2021,"Adventure,Comedy,Family",0.0,0.0,0.0,""
"A Chorus Line","","Drama,Musical",0.0,0.0,0.0,""
"A Christmas Prince",2017,"Comedy,Family,Romance",5.8,17515.0,92.0,""
"A Christmas Prince: The Royal Baby",2019,"Family,Romance",5.4,5594.0,84.0,""
"A Christmas Prince: The Royal Wedding",2018,"Drama,Romance",5.3,9527.0,92.0,""
"A Christmas Tree Miracle",2013,Family,6.7,769.0,102.0,""
"A Cinderella Story",2004,"Comedy,Family,Romance",5.9,82876.0,95.0,51.44
"A Cinderella Story: Christmas Wish","2019 Video","Comedy,Family,Fantasy",5.3,5237.0,85.0,""
"A Classic Horror Story",2021,"Drama,Horror,Mystery",5.7,8822.0,95.0,""
"A Decade of Decadence, Pt. 2: Legacy of Dreams","2013 Video",Documentary,8.1,50.0,65.0,""
"A Dog's Life: The Oscar Lose Story","2008 Video","Documentary,Family",0.0,0.0,72.0,""
"A Fall from Grace",2020,"Drama,Fantasy,Thriller",5.9,13360.0,120.0,""
"A Family Reunion Christmas","2019 TV Movie","Comedy,Family",5.7,164.0,28.0,""
"A Faster Horse",2015,Documentary,6.7,656.0,90.0,""
"A Field Full of Secrets",2014,Documentary,5.7,200.0,122.0,""
"A Final Cut for Orson: 40 Years in the Making",2018,"Documentary,Short",7.2,218.0,38.0,""
"A Futile and Stupid Gesture",2018,"Biography,Comedy",6.8,14676.0,101.0,""
"A Garota Invisível",2021,"Comedy,Musical,Romance",4.6,45.0,83.0,""
"A Go! Go! Cory Carson Christmas","2020 TV Special","Animation,Short,Family",6.4,37.0,21.0,""
"A Go! Go! Cory Carson Halloween","2020 TV Special","Animation,Short,Family",6.1,41.0,24.0,""
"A Haunting at Silver Falls 2",2019,Horror,3.2,271.0,79.0,""
"A Jazzman's Blues",2022,Drama,0.0,0.0,0.0,""
"A Killer Uncaged",2020,"Documentary,Crime",5.2,681.0,104.0,""
"A Life in Men","",Drama,0.0,0.0,0.0,""
"A Little Help with Carol Burnett",2018,Talk-Show,6.2,224.0,23.0,""
"A Love So Beautiful",2020,"Comedy,Romance",7.4,522.0,0.0,""
"A Love Song for Latasha",2019,"Documentary,Short,Biography",6.8,2140.0,19.0,""
"A Love to Last",2017,"Drama,Family,Music",8.8,32.0,0.0,""
"A Madea Homecoming",2022,Comedy,0.0,0.0,0.0,""
"A Man Apart",2003,"Action,Crime,Drama",6.1,46040.0,109.0,26.18
"A Man for All Seasons",1966,"Biography,Drama,History",7.7,32729.0,120.0,28.35
"A Martfüi Rém - A Sorozat",2020,"Crime,Drama,Mystery",7.6,222.0,45.0,""
